DateStart;DateTimeStart;SUM_of_IsDP
01JUN2026;01JUN2026:09:51:44.894000;1
01JUN2026;01JUN2026:09:52:30.269000;1
01JUN2026;01JUN2026:09:52:33.905000;1
01JUN2026;01JUN2026:09:52:56.863000;1
01JUN2026;01JUN2026:09:53:05.705000;1
01JUN2026;01JUN2026:09:53:29.052000;1
01JUN2026;01JUN2026:09:53:51.389000;1
01JUN2026;01JUN2026:09:53:53.222000;1
01JUN2026;01JUN2026:09:53:54.663000;1
01JUN2026;01JUN2026:09:54:29.634000;1
01JUN2026;01JUN2026:09:54:53.351000;1
01JUN2026;01JUN2026:09:55:19.227000;1
01JUN2026;01JUN2026:09:55:19.228000;1
01JUN2026;01JUN2026:09:55:34.004000;1
01JUN2026;01JUN2026:09:55:36.136000;1
01JUN2026;01JUN2026:09:56:37.734000;1
01JUN2026;01JUN2026:09:56:40.570000;1
01JUN2026;01JUN2026:09:56:53.218000;1
01JUN2026;01JUN2026:09:58:10.807000;1
01JUN2026;01JUN2026:09:58:12.233000;1
01JUN2026;01JUN2026:10:00:14.412000;1
01JUN2026;01JUN2026:10:00:20.296000;1
01JUN2026;01JUN2026:10:01:13.762000;1
01JUN2026;01JUN2026:10:01:24.419000;1
01JUN2026;01JUN2026:10:01:33.802000;1
01JUN2026;01JUN2026:10:02:06.111000;1
01JUN2026;01JUN2026:10:02:13.009000;1
01JUN2026;01JUN2026:10:02:17.792000;1
01JUN2026;01JUN2026:10:02:23.431000;1
01JUN2026;01JUN2026:10:02:37.247000;1
01JUN2026;01JUN2026:10:02:46.815000;1
01JUN2026;01JUN2026:10:03:08.165000;1
01JUN2026;01JUN2026:10:03:29.436000;1
01JUN2026;01JUN2026:10:03:33.923000;1
01JUN2026;01JUN2026:10:03:57.869000;1
01JUN2026;01JUN2026:10:05:03.551000;1
01JUN2026;01JUN2026:10:05:28.001000;1
01JUN2026;01JUN2026:10:05:42.821000;1
01JUN2026;01JUN2026:10:06:23.771000;1
01JUN2026;01JUN2026:10:06:29.281000;1
01JUN2026;01JUN2026:10:06:59.528000;1
01JUN2026;01JUN2026:10:07:06.987000;1
01JUN2026;01JUN2026:10:07:12.952000;1
01JUN2026;01JUN2026:10:09:07.073000;1
01JUN2026;01JUN2026:10:09:12.835000;1
01JUN2026;01JUN2026:10:11:02.872000;1
01JUN2026;01JUN2026:10:11:56.865000;1
01JUN2026;01JUN2026:10:13:13.329000;1
01JUN2026;01JUN2026:10:13:26.444000;1
01JUN2026;01JUN2026:10:15:18.298000;1
01JUN2026;01JUN2026:10:15:31.471000;1
01JUN2026;01JUN2026:10:15:33.970000;1
01JUN2026;01JUN2026:10:15:45.895000;1
01JUN2026;01JUN2026:10:16:58.181000;1
01JUN2026;01JUN2026:10:17:25.199000;1
01JUN2026;01JUN2026:10:17:49.197000;1
01JUN2026;01JUN2026:10:18:39.075000;1
01JUN2026;01JUN2026:10:19:18.968000;1
01JUN2026;01JUN2026:10:19:40.189000;1
01JUN2026;01JUN2026:10:19:50.100000;1
01JUN2026;01JUN2026:10:20:22.963000;1
01JUN2026;01JUN2026:10:21:22.314000;1
01JUN2026;01JUN2026:10:21:59.566000;1
01JUN2026;01JUN2026:10:22:26.005000;1
01JUN2026;01JUN2026:10:23:23.529000;1
01JUN2026;01JUN2026:10:23:28.228000;1
01JUN2026;01JUN2026:10:24:13.939000;1
01JUN2026;01JUN2026:10:24:29.852000;1
01JUN2026;01JUN2026:10:24:53.638000;1
01JUN2026;01JUN2026:10:25:49.715000;1
01JUN2026;01JUN2026:10:26:29.696000;1
01JUN2026;01JUN2026:10:27:04.898000;1
01JUN2026;01JUN2026:10:27:09.740000;1
01JUN2026;01JUN2026:10:27:32.041000;1
01JUN2026;01JUN2026:10:27:34.959000;1
01JUN2026;01JUN2026:10:27:54.695000;1
01JUN2026;01JUN2026:10:28:24.678000;1
01JUN2026;01JUN2026:10:28:33.326000;1
01JUN2026;01JUN2026:10:29:16.108000;1
01JUN2026;01JUN2026:10:29:32.472000;1
